DATE,REGION,VOL
2013-01-10,COFFE,7.884422155147165e-05
2013-01-11,COFFE,0.00034129426317949693
2013-01-14,COFFE,0.0001753633472031503
2013-01-15,COFFE,0.00041993424490501934
2013-01-16,COFFE,0.0002411307205587535
2013-01-17,COFFE,0.00025418940592229056
2013-01-18,COFFE,0.00016585798299758916
2013-01-22,COFFE,0.0010585038997510672
2013-01-23,COFFE,0.00019062255572359214
2013-01-24,COFFE,0.0004411515655409057
2013-01-25,COFFE,7.316076963947041e-05
2013-01-28,COFFE,0.00013307899434576208
2013-01-29,COFFE,8.183520417226421e-05
2013-01-30,COFFE,0.00021652943436316338
2013-01-31,COFFE,6.960022661133291e-05
2013-02-01,COFFE,0.00013783614027476702
2013-02-04,COFFE,0.00028446814176959516
2013-02-05,COFFE,6.548016946816147e-05
2013-02-06,COFFE,0.000123651705505811
2013-02-07,COFFE,0.0002400982828079318
2013-02-08,COFFE,0.00012790556758733633
2013-02-11,COFFE,8.805870038131982e-05
2013-02-12,COFFE,0.0002373243724906906
2013-02-13,COFFE,0.00020660682852827216
2013-02-14,COFFE,6.105391018395929e-05
2013-02-15,COFFE,5.85737709347647e-05
2013-02-19,COFFE,0.00023320883799609008
2013-02-20,COFFE,0.0004943310026965872
2013-02-21,COFFE,0.00015432826971121407
2013-02-22,COFFE,5.3960251458512173e-05
2013-02-25,COFFE,0.00021194973935646306
2013-02-26,COFFE,0.0001158673228369815
2013-02-27,COFFE,5.4377527712439696e-05
2013-02-28,COFFE,8.202026480720647e-05
2013-03-01,COFFE,4.5280079959942584e-05
2013-03-04,COFFE,1.525964732151173e-06
2013-03-05,COFFE,0.0008101979603447887
2013-03-06,COFFE,2.931701684674593e-06
2013-03-07,COFFE,7.744301639441097e-06
2013-03-08,COFFE,7.09472604481511e-07
2013-03-11,COFFE,6.296648239415978e-06
2013-03-12,COFFE,0.0
2013-03-13,COFFE,0.00012646354375186333
2013-03-14,COFFE,4.1567022121096544e-07
2013-03-15,COFFE,0.0
2013-03-18,COFFE,0.0
2013-03-19,COFFE,0.00016894091808283986
2013-03-20,COFFE,9.846850147129006e-05
2013-03-21,COFFE,8.938392386478277e-05
2013-03-22,COFFE,0.00019090561340153313
2013-03-25,COFFE,7.456228889953373e-05
2013-03-26,COFFE,0.0002352554901962073
2013-03-27,COFFE,0.00021082370081062016
2013-03-28,COFFE,6.957665053753572e-05
2013-04-01,COFFE,0.0006443569479790823
2013-04-02,COFFE,0.00012028509287117693
2013-04-03,COFFE,0.00032824458391638887
2013-04-04,COFFE,0.00010365445095501754
2013-04-05,COFFE,0.000140523847603287
2013-04-08,COFFE,0.0006599447666424557
2013-04-09,COFFE,9.044196608792245e-05
2013-04-10,COFFE,0.0001258333592354633
2013-04-11,COFFE,4.955633218084953e-05
2013-04-12,COFFE,0.00016316725354831608
2013-04-15,COFFE,0.00026211046704897184
2013-04-16,COFFE,4.738855584912863e-05
2013-04-17,COFFE,0.00014060981078003784
2013-04-18,COFFE,0.00018268015887492944
2013-04-19,COFFE,0.00022971190555920088
2013-04-22,COFFE,0.00011140697248722815
2013-04-23,COFFE,0.0006342339513582698
2013-04-24,COFFE,8.726413391693552e-05
2013-04-25,COFFE,0.0001940930771134525
2013-04-26,COFFE,0.0003552761175996528
2013-04-29,COFFE,5.499434529442115e-05
2013-04-30,COFFE,4.2091283977646114e-05
2013-05-01,COFFE,0.00021100204231882245
2013-05-02,COFFE,0.0002837331245917916
2013-05-03,COFFE,4.17020130162842e-05
2013-05-06,COFFE,4.17020130162842e-05
2013-05-07,COFFE,2.8944477736784236e-06
2013-05-08,COFFE,0.0
2013-05-09,COFFE,4.228634365908604e-08
2013-05-10,COFFE,3.3604541686311933e-06
2013-05-13,COFFE,0.00018598914357637522
2013-05-14,COFFE,0.0
2013-05-15,COFFE,1.892525603434375e-07
2013-05-16,COFFE,2.26147654766831e-06
2013-05-17,COFFE,0.0
2013-05-20,COFFE,0.0
2013-05-21,COFFE,0.0002601585603697038
2013-05-22,COFFE,0.0006246778254030912
2013-05-23,COFFE,0.0003005051619577004
2013-05-24,COFFE,0.000339401479694181
2013-05-28,COFFE,0.0001288117378171305
2013-05-29,COFFE,8.945096876668638e-05
2013-05-30,COFFE,0.000251479459180809
2013-05-31,COFFE,0.0001768595172651239
2013-06-03,COFFE,0.00033777839362263373
2013-06-04,COFFE,8.792126415084024e-05
2013-06-05,COFFE,0.00028667860635177517
2013-06-06,COFFE,0.0001775017487714386
2013-06-07,COFFE,0.0002619483915513975
2013-06-10,COFFE,0.00021340327566082135
2013-06-11,COFFE,0.00019969940147627406
2013-06-12,COFFE,0.001235740004451181
2013-06-13,COFFE,0.0001811132399156643
2013-06-14,COFFE,0.00019279374305493287
2013-06-17,COFFE,0.00017310234784895104
2013-06-18,COFFE,0.0001336668245347602
2013-06-19,COFFE,5.39476817877756e-05
2013-06-20,COFFE,0.0006831601265494769
2013-06-21,COFFE,0.00015066754512533032
2013-06-24,COFFE,7.731943236890046e-05
2013-06-25,COFFE,7.72547817089778e-05
2013-06-26,COFFE,0.00018475587850665505
2013-06-27,COFFE,0.00019605771666179105
2013-06-28,COFFE,0.000368703012498751
2013-07-01,COFFE,0.00010383158876952741
2013-07-02,COFFE,0.0002298726658232747
2013-07-03,COFFE,0.00017480025020884886
2013-07-05,COFFE,0.0
2013-07-08,COFFE,0.00023270679627685083
2013-07-09,COFFE,0.00038778650152431464
2013-07-10,COFFE,0.0
2013-07-11,COFFE,0.0
2013-07-12,COFFE,2.7672057969346983e-05
2013-07-15,COFFE,2.4963510748032956e-07
2013-07-16,COFFE,3.297586571298049e-05
2013-07-17,COFFE,5.679558875279453e-06
2013-07-18,COFFE,6.273591555175975e-06
2013-07-19,COFFE,6.273591555175975e-06
2013-07-22,COFFE,0.00022490008538584463
2013-07-23,COFFE,0.00024433140886815605
2013-07-24,COFFE,0.0007271664280744598
2013-07-25,COFFE,0.0004408894535237715
2013-07-26,COFFE,0.0003387710994970163
2013-07-29,COFFE,0.0003075703164281825
2013-07-30,COFFE,0.00014733024033110036
2013-07-31,COFFE,0.0002855093114072531
2013-08-01,COFFE,0.000439981442633342
2013-08-02,COFFE,0.00019160019224145964
2013-08-05,COFFE,0.00027485169722120774
2013-08-06,COFFE,0.00014239440811859592
2013-08-07,COFFE,0.0003355527029709151
2013-08-08,COFFE,0.0002481673509074623
2013-08-09,COFFE,0.0001940511175527111
2013-08-12,COFFE,0.00014816512487055407
2013-08-13,COFFE,0.0005838876621671434
2013-08-14,COFFE,0.00033735468144020564
2013-08-15,COFFE,0.0002516623052900461
2013-08-16,COFFE,0.00011904071107345718
